id,uuid,tagId,allNamesByLocale,parentTagIds,createdAt,deletedAt,updatedAt,tagName
1,5a03b993-3e55-408c-9be6-8a04b9fcca37,21545,"{""da"": ""Undervisning i motorsport"", ""de"": ""Motorsportkurse"", ""en"": ""Motor Sports Classes"", ""es"": ""Clases de deportes de motor"", ""fr"": ""Stages de sports motorisés"", ""it"": ""Lezioni di sport a motore"", ""ja"": ""モータースポーツ教室"", ""ko"": ""모터스포츠 강좌"", ""nl"": ""Motorsportlessen"", ""no"": ""Motorsportskurs"", ""pt"": ""Aulas de esportes motorizados"", ""sv"": ""Motorsportkurser"", ""zh"": ""汽车运动课程"", ""en_AU"": ""Motor Sports Classes"", ""en_UK"": ""Motor Sports Classes"", ""zh_CN"": ""汽车运动课程"", ""zh_HK"": ""賽車課程"", ""zh_TW"": ""賽車課程""}","{21478,21909,21915}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Motor Sports Classes
2,16e0bec1-2cac-4103-9e2b-5a8d179622f2,20214,"{""da"": ""Flamenco-optræden"", ""de"": ""Flamencovorführung"", ""en"": ""Flamenco Performance"", ""es"": ""Actuación de flamenco"", ""fr"": ""Spectacle de flamenco"", ""it"": ""Esibizione di flamenco"", ""ja"": ""フラメンコショー"", ""ko"": ""플라멩고 공연"", ""nl"": ""Flamenco-optreden"", ""no"": ""Flamenco-opptreden"", ""pt"": ""Apresentação de flamenco"", ""sv"": ""Flamencouppträdande"", ""zh"": ""弗拉门戈舞表演"", ""en_AU"": ""Flamenco Performance"", ""en_UK"": ""Flamenco Performance"", ""zh_CN"": ""弗拉门戈舞表演"", ""zh_HK"": ""佛朗明哥舞表演"", ""zh_TW"": ""佛朗明哥舞蹈表演""}","{21516,21910,21912}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Flamenco Performance
3,f4af765b-5fe7-498c-9435-843614dd3f2e,21544,"{""da"": ""Undervisning i lacrosse"", ""de"": ""Lacrossekurse"", ""en"": ""Lacrosse Classes"", ""es"": ""Clases de lacrosse"", ""fr"": ""Stages de lacrosse"", ""it"": ""Lezioni di lacrosse"", ""ja"": ""ラクロス教室"", ""ko"": ""라크로스 강좌"", ""nl"": ""Lacrosselessen"", ""no"": ""Lacrossekurs"", ""pt"": ""Aulas de lacrosse"", ""sv"": ""Lacrossekurser"", ""zh"": ""长曲棍球课程"", ""en_AU"": ""Lacrosse Classes"", ""en_UK"": ""Lacrosse Classes"", ""zh_CN"": ""长曲棍球课程"", ""zh_HK"": ""棍網球課程"", ""zh_TW"": ""袋棍球課程""}","{21478,21909,21915}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Lacrosse Classes
4,c316feab-c165-4ad1-bdd5-0b4a75e19091,20213,"{""da"": ""Fars dag "", ""de"": ""Vatertag "", ""en"": ""Father's Day "", ""es"": ""Día del padre "", ""fr"": ""Fête des Pères "", ""it"": ""Festa del papà "", ""ja"": ""父の日 "", ""ko"": ""아버지 날 "", ""nl"": ""Vaderdag "", ""no"": ""Farsdag "", ""pt"": ""Dia dos Pais "", ""sv"": ""Fars dag "", ""zh"": ""父亲节 "", ""en_AU"": ""Father's Day "", ""en_UK"": ""Father's Day "", ""zh_CN"": ""父亲节 "", ""zh_HK"": ""父親節 "", ""zh_TW"": ""父親節 ""}","{21584,21916}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Father's Day 
5,d41416a2-1895-4ca3-b845-dec9f56b49a1,9188,"{""da"": ""Fitnesscenter"", ""de"": ""Fitnessstudio"", ""en"": ""Fitness center"", ""es"": ""Gimnasio"", ""fr"": ""Centre de remise en forme"", ""it"": ""Centro fitness"", ""ja"": ""フィットネスセンター"", ""ko"": ""피트니스 센터"", ""nl"": ""Fitnesscentrum"", ""no"": ""Treningssenter"", ""pt"": ""Academia"", ""sv"": ""Träningsanläggning"", ""zh"": ""健身中心"", ""en_AU"": ""Fitness centre"", ""en_UK"": ""Fitness center"", ""zh_CN"": ""健身中心"", ""zh_HK"": ""健身中心"", ""zh_TW"": ""健身中心""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Fitness center
6,89fd1ccb-2cce-47c7-b97f-e9c729d0345d,21543,"{""da"": ""Undervisning i skøjteløb"", ""de"": ""Eislaufkurse"", ""en"": ""Ice Skating Classes"", ""es"": ""Clases de patinaje sobre hielo"", ""fr"": ""Stages de patinage sur glace"", ""it"": ""Lezioni di pattinaggio su ghiaccio"", ""ja"": ""アイススケート教室"", ""ko"": ""빙상 스케이트 강좌"", ""nl"": ""Schaatslessen"", ""no"": ""Skøytekurs"", ""pt"": ""Aulas de patinação no gelo"", ""sv"": ""Skridskoåkningskurser"", ""zh"": ""溜冰课程"", ""en_AU"": ""Ice Skating Classes"", ""en_UK"": ""Ice Skating Classes"", ""zh_CN"": ""溜冰课程"", ""zh_HK"": ""溜冰課程"", ""zh_TW"": ""溜冰課程""}","{21478,21909,21915}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Ice Skating Classes
7,b12d7943-bb47-496a-b1e1-79c71f9c1bfb,20212,"{""da"": ""Udbryderrum"", ""de"": ""Escape Rooms"", ""en"": ""Escape Rooms"", ""es"": ""Juegos de escape"", ""fr"": ""Escape Rooms"", ""it"": ""Escape room"", ""ja"": ""脱出ゲーム"", ""ko"": ""방 탈출 카페"", ""nl"": ""Escaperooms"", ""no"": ""Escape Rooms"", ""pt"": ""Salas de fuga"", ""sv"": ""Rymningsrum"", ""zh"": ""密室逃脱游戏室"", ""en_AU"": ""Escape Rooms"", ""en_UK"": ""Escape Rooms"", ""zh_CN"": ""密室逃脱游戏室"", ""zh_HK"": ""密室逃脱游戏室"", ""zh_TW"": ""密室逃脫""}","{20217,21909}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Escape Rooms
8,2cc99494-a372-4aca-9ffe-04d6346ef7b1,21542,"{""da"": ""Undervisning i hestevæddeløb"", ""de"": ""Pferderennkurse"", ""en"": ""Horse Racing Classes"", ""es"": ""Clases de carreras de caballos"", ""fr"": ""Stages de sport hippique"", ""it"": ""Lezioni di ippica"", ""ja"": ""競馬教室"", ""ko"": ""승마 강좌"", ""nl"": ""Paardenracelessen"", ""no"": ""Hesteløpskurs"", ""pt"": ""Aulas de turfe"", ""sv"": ""Hästkapplöpningskurser"", ""zh"": ""赛马课程"", ""en_AU"": ""Horse Racing Classes"", ""en_UK"": ""Horse Racing Classes"", ""zh_CN"": ""赛马课程"", ""zh_HK"": ""賽馬課程"", ""zh_TW"": ""賽馬課程""}","{21478,21909,21915}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Horse Racing Classes
9,3c770295-88d3-453d-87b6-46875a910d90,20211,"{""da"": ""Destilleriture "", ""de"": ""Brennereitouren "", ""en"": ""Distillery Tours "", ""es"": ""Visitas a destilerías "", ""fr"": ""Visites de distilleries "", ""it"": ""Tour di distillerie "", ""ja"": ""蒸留所ツアー "", ""ko"": ""증류소 투어 "", ""nl"": ""Distilleerderijtours "", ""no"": ""Brenneriturer "", ""pt"": ""Excursões em destilarias "", ""sv"": ""Destillerirundturer "", ""zh"": ""酿酒厂游览 "", ""en_AU"": ""Distillery Tours "", ""en_UK"": ""Distillery Tours "", ""zh_CN"": ""酿酒厂游览 "", ""zh_HK"": ""酒廠遊覽團 "", ""zh_TW"": ""酒廠遊覽 ""}","{21575,21911}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Distillery Tours 
10,a3cf231d-346e-4c0b-b38a-6a55b7e4fd60,21541,"{""da"": ""Undervisning i hockey"", ""de"": ""Hockeykurse"", ""en"": ""Hockey Classes"", ""es"": ""Clases de hockey"", ""fr"": ""Stages de hockey"", ""it"": ""Lezioni di hockey"", ""ja"": ""ホッケー教室"", ""ko"": ""하키 강좌"", ""nl"": ""Hockeylessen"", ""no"": ""Hockeykurs"", ""pt"": ""Aulas de hóquei"", ""sv"": ""Hockeykurser"", ""zh"": ""曲棍球课程"", ""en_AU"": ""Hockey Classes"", ""en_UK"": ""Hockey Classes"", ""zh_CN"": ""曲棍球课程"", ""zh_HK"": ""曲棍球課程"", ""zh_TW"": ""曲棍球課程""}","{21478,21909,21915}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Hockey Classes
